Album,Artist,Artwork Count,Bit Rate,Date Added,Date Modified,File Folder Count,Genre,Has Video,Kind,Library Folder Count,Location,Movie,Name,Persistent ID,Play Count,Play Date,Play Date UTC,Podcast,Purchased,Release Date,Sample Rate,Size,Total Time,Track ID,Track Number,Track Type,Unplayed,Year
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://traffic.libsyn.com/polishpod101/pplus_201601_polish.mp4,,"Learn Polish FAST with a Real Teacher Anywhere, Anytime!",8E1E6BE758032251,1,3574513633,2017-04-08T14:27:13Z,,,2016-01-01T09:45:03Z,44100,30981853,202000,2854,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://traffic.libsyn.com/innovative/dailydose_201604_agnostic.mp4,,"Get New, Free Language Mini-Lessons Every Day!",5818BACFD22B0D14,1,3574513633,2017-04-08T14:27:13Z,,,2016-04-08T09:30:03Z,44100,12537036,83000,2856,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://traffic.libsyn.com/PolishPod101/learning_paths_05_2016_polish.mp4,,How to Learn Polish Fast with Learning Paths,A1330079E3A2C461,1,3574513633,2017-04-08T14:27:13Z,,,2016-05-30T09:30:03Z,44100,64306282,91000,2858,2,URL,,2013
Learn Polish: Polish for Kids and Beginners (Watch),admin,1,192,2017-08-06T06:57:04Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,http://dts.podtrac.com/redirect.mp3/cdn.funkidslive.com/pods/watchpolish/podcast-2015-02-09-67970.mp4,,At the Supermarket,393D7E45600557CF,1,3574513633,2017-04-08T14:27:13Z,,,2015-02-09T16:04:00Z,44100,25165824,108000,2860,2,URL,,2013
Learn Polish: Polish for Kids and Beginners (Watch),admin,1,192,2017-08-06T06:57:04Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,http://dts.podtrac.com/redirect.mp3/cdn.funkidslive.com/pods/watchpolish/podcast-2015-02-16-68020.mp4,,Animals,1659877F0FBC7563,1,3574513633,2017-04-08T14:27:13Z,,,2015-02-16T16:06:00Z,44100,23068672,137000,2862,2,URL,,2013
Learn Polish: Polish for Kids and Beginners (Watch),admin,1,192,2017-08-06T06:57:04Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,http://dts.podtrac.com/redirect.mp3/cdn.funkidslive.com/pods/watchpolish/podcast-2015-02-23-48348.mp4,,Body,6C5F8CD5B1F55D77,1,3574513633,2017-04-08T14:27:13Z,,,2015-02-23T10:38:00Z,44100,29360128,141000,2864,2,URL,,2013
Learn Polish: Polish for Kids and Beginners (Watch),admin,1,192,2017-08-06T06:57:04Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,http://dts.podtrac.com/redirect.mp3/cdn.funkidslive.com/pods/watchpolish/podcast-2015-03-02-48374.mp4,,Colours,F83EE0DEA284E468,1,3574513633,2017-04-08T14:27:13Z,,,2015-03-02T10:39:00Z,44100,23068672,124000,2866,2,URL,,2013
Learn Polish: Polish for Kids and Beginners (Watch),admin,1,192,2017-08-06T06:57:04Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,http://dts.podtrac.com/redirect.mp3/cdn.funkidslive.com/pods/watchpolish/podcast-2015-03-09-48403.mp4,,Cooking,185B072F07CA51F1,1,3574513633,2017-04-08T14:27:13Z,,,2015-03-09T10:39:00Z,44100,23068672,133000,2868,2,URL,,2013
Learn Polish: Polish for Kids and Beginners (Watch),admin,1,192,2017-08-06T06:57:04Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,http://dts.podtrac.com/redirect.mp3/cdn.funkidslive.com/pods/watchpolish/podcast-2015-03-16-48424.mp4,,Eating Out,E5C0378E6172A07D,1,3574513633,2017-04-08T14:27:13Z,,,2015-03-16T10:40:00Z,44100,28311552,126000,2870,2,URL,,2013
Learn Polish: Polish for Kids and Beginners (Watch),admin,1,192,2017-08-06T06:57:04Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,http://dts.podtrac.com/redirect.mp3/cdn.funkidslive.com/pods/watchpolish/podcast-2015-03-23-48477.mp4,,Family,C12B8B0BEC8F608D,1,3574513633,2017-04-08T14:27:13Z,,,2015-03-23T10:41:00Z,44100,24117248,140000,2872,2,URL,,2013
